tagNumber,name,type,sex,dateOfBirth,breedingMethod,sireTag,damTag,herdName,organic
2511,White w/ Brown Tips,beef,female,2025-04-13,,2105,1815,main,true
2513,Brown,beef,female,2025-04-15,,2105,2116,main,true
2514,Red,beef,female,2025-04-15,,2105,1719,main,true
2515,Black,beef,female,2025-04-16,,2105,1809,main,true
2516,White w/ Black Tips,beef,male,2025-04-17,,2105,2222,main,true
2517,Black,beef,female,2025-04-17,,2105,1810,main,true
2518,Black,beef,male,2025-04-17,,2105,2019,main,true
2519,White w/tips,beef,male,2025-04-17,,2105,1904,main,true
2521,White w/ Borwon tips,beef,male,2025-04-18,,2105,1809B,main,true
2523,Red,beef,male,2025-04-21,,2105,1725,main,true
2525,White w/ Brown tips,beef,male,2025-04-22,,2105,1932,main,true
2526,White w/Brown Tips,beef,male,2025-04-24,,2105,2109,main,true
2527,Black,beef,female,2025-04-25,,2105,1905,main,true
2528,Red,beef,male,2025-04-12,,2105,i99,main,true
2529,White w/ Brown tips,beef,male,2025-04-17,,2105,1814,main,true
2538,White w/Black Tips,beef,male,2025-04-30,,2105,1501,main,true
2510,Black w/ White marks on face,beef,female,2025-05-02,,2105,1912,main,true
2531,Black,beef,male,2025-05-02,,2105,1803,main,true
2537,All Brown,beef,female,2025-05-07,,2105,1903,main,true
2539,Red,beef,male,2025-05-09,,2105,H04,main,true
2540,Whit w/ Brown Tips,beef,male,2025-05-12,,2105,G41,main,true
2543,White w/black tips,beef,male,2025-05-30,,2105,1813,main,true
2544,Black,beef,male,2025-05-20,,2105,1921,main,true
2547,Red,beef,male,2025-06-04,,2105,1816,main,true
"2450 ""Odin""",Jersey - Redish Brown,beef,,2024-08-10,,Ivano,Olivia,bull,false
2509,White w/Brown TIps,beef,,2025-04-10,,2105,2025,bull,true
2522,"Brown STAG!!!! - STAG, only one teste",beef,male,2025-04-19,,2105,2125,bull,true
2535,White w/ Red Tips,beef,,2025-05-04,,2105,2214,bull,true
2340,White w/tips,beef,female,2023-05-10,,Everette/Everest,1814,missing,true
2304,Jersey - nursing on Isela,beef,male,2023-02-24,,2033/2031,Mirtha,missing,false
2411,Light brown/gray,beef,male,2024-04-14,,Ivano,Bombay,missing,false
2438,White w. Black tips,beef,male,2024-05-08,,Everest,2019,missing,true
2323,RED,beef,female,2023-04-21,,Everette/Everest,1803,missing,true
2351,Jersey Did not see this calf on 4/4/24 sort. This could be 2300 - tag could look like 2350,beef,,2023-08-16,,Ivano,Stella,missing,false
2343,Dark Brown - Did not see on 4/13/24 sort,beef,,2023-05-24,,Everette/Everest,1899,missing,true
2119,Brown-Grey WF - We do not knowwhere this cow/steer? Is 6/27/25,beef,,2021-04-22,,Galloway,1809B,missing,true
